,Company and Vaccine Name ,License  Holder ,Company's Country,Purchaser Entity / Country,Purchaser's country Economic  Status ,Value of Deal (USD),Number of Doses Procured,COVID Burden (cases/million) ,Number of Doses Needed per Person, Number of people able to be vaccinated with doses procured , Population  ,% of national population able to be vaccinated , Doses intended to be purchased  ,Number of people able to be vaccinated with additional doses,% of national population able to be vaccinated with additional doses,Limited Regulatory Approval ,Full Regulatory Approval ,Agreement status
0,Oxford-AstraZeneca _AZD1222,SII,UK,African Union ,Low income ,,"500,000,000","3,329",2.0," 250,000,000 "," 1,359,998,350 ",18%,,,,2/25/2021,,Confirmed agreement
1,Oxford-AstraZeneca _AZD1222,SII,UK,Argentina,Upper middle income ,,"23,600,000","61,279",2.0," 11,800,000 "," 44,938,712 ",26%,,,,12/30/2020,,Confirmed agreement
2,Oxford-AstraZeneca _AZD1222,AZ,UK,Australia,High income ,,"53,800,000","1,161",2.0," 26,900,000 "," 25,364,307 ",106%,,,,2/16/2021,,Confirmed agreement
3,Oxford-AstraZeneca _AZD1222,SII,UK,Bangladesh,Lower middle income," $87,000,000 ","33,000,000","4,445",2.0," 16,500,000 "," 163,046,161 ",10%,,,,1/4/2021,,Confirmed agreement
4,Oxford-AstraZeneca _AZD1222,SII,UK,Bolivia ,Lower middle income ,,"5,000,000","25,106",2.0," 2,500,000 "," 11,513,100 ",22%,,,,,,Confirmed agreement
5,Oxford-AstraZeneca _AZD1222,SII,UK,Brazil,Upper middle income,,"10,000,000","66,442",2.0," 5,000,000 "," 211,049,527 ",2%,,,,1/17/2021,3/12/2021,Confirmed agreement
6,Oxford-AstraZeneca _AZD1222,AZ,UK,Brazil,Upper middle income," $360,000,000 ","92,000,000","66,442",2.0," 46,000,000 "," 211,049,527 ",22%," 100,000,000 ","50,000,000",24%,1/17/2021,3/12/2021,Confirmed agreement
7,Oxford-AstraZeneca _AZD1222,SII,UK,Cambodia,Lower middle income ,,"100,000",463,2.0," 50,000 ",16486542,0%," 5,000,000 ","2,500,000",15.2%,2/12/2021,,Confirmed agreement 
8,Oxford-AstraZeneca _AZD1222,SII,UK,Canada,High income ,,"2,000,000","30,604",2.0," 1,000,000 "," 37,589,262 ",3%,,,,2/26/2021,,Confirmed agreement
9,Oxford-AstraZeneca _AZD1222,AZ,UK,Canada,High income ,,"20,000,000","30,604",2.0," 10,000,000 "," 37,589,262 ",27%,,,,2/26/2021,,Confirmed agreement
10,Oxford-AstraZeneca _AZD1222,AZ,UK,Chile ,High income ,,"14,400,000","59,709",2.0," 7,200,000 "," 18,952,038 ",38%,,,,1/27/2021,,Confirmed agreement
11,Oxford-AstraZeneca _AZD1222,AZ,UK ,Colombia ,Upper middle income ,,"10,000,000","53,089",2.0," 5,000,000 "," 50,339,443 ",10%,,,,2/23/2021,,Confirmed agreement
12,Oxford-AstraZeneca _AZD1222,AZ,UK ,Costa Rica ,Upper middle income ,"$4,000,000 ","1,000,000","45,837",2.0," 500,000 "," 5,047,561 ",10%,,,,2/26/2021,,Confirmed agreement
13,Oxford-AstraZeneca _AZD1222,AZ,UK,COVAX,Global Entity,,"170,000,000",,2.0," 85,000,000 ",,,,,,2/15/2021,,Confirmed agreement
14,Oxford-AstraZeneca _AZD1222,AZ,UK,Dominican Republic,Upper middle income ," $40,000,000 ","10,000,000","24,189",2.0," 5,000,000 "," 10,738,959 ",47%,,,,1/6/2021,,Confirmed agreement
